,Unnamed: 0,gameName,genre,reviewScore,playTime,appID
438,438,Super Smash Bros. Brawl,Fighting,83,22.42,
439,439,Crash Bandicoot,Platform,75,43.55,731490
440,440,Fable: The Lost Chapters,Role-Playing,81,27.75,204030
441,441,Call of Duty 2,Shooter,78,23.47,1938090
442,442,Kingdom Hearts,Role-Playing,83,56.67,2552430
443,443,Super Mario RPG: Legend of the Seven Stars,Role-Playing,83,54.32,
444,444,Turok 2: Seeds of Evil,Platform,67,22.22,405830
445,445,Goodbye Deponia,Adventure,78,20.28,241910
446,446,The Legend of Zelda: Twilight Princess HD,Action,86,29.77,
447,447,Batman: Arkham Origins Blackgate,Action,60,29.12,209000
448,448,Gears of War 3,Shooter,82,28.67,3595270
449,449,The Whispered World,Adventure,69,10.22,268540
450,450,Worms: Ultimate Mayhem,Strategy,68,20.12,70600
451,451,Assassin's Creed Chronicles: China,Action,65,29.76,354380
452,452,Devil May Cry 2,Action,48,38.68,601150
453,453,Gears of War,Shooter,78,36.05,2523720
454,454,Mario Kart Wii,Racing,81,6.17,
455,455,Final Fantasy III,Role-Playing,74,16.13,1173790
456,456,A New Beginning,Adventure,67,9.92,1013140
457,457,Arx Fatalis,Role-Playing,76,20.73,1700
458,458,Metal Gear Solid: Peace Walker,Action,78,53.32,
459,459,TERA,Role-Playing,65,98.53,1743650
460,460,Total War: Rome II,Strategy,76,52.73,1142710
461,461,Castlevania: Lords of Shadow 2,Action,71,64.09,234080
462,462,Fire Emblem,Strategy,82,27.48,
463,463,Golden Sun,Role-Playing,83,22.52,
464,464,Jak and Daxter: The Precursor Legacy,Platform,80,36.56,
465,465,Naruto: Ultimate Ninja Storm,Fighting,68,65.07,349040
466,466,Dragon Age II,Action,73,102.49,1238040
467,467,Spyro the Dragon,Platform,78,37.14,
468,468,Two Worlds II,Role-Playing,64,91.18,1449110
469,469,Dark Souls,Role-Playing,92,226.59,374320
470,470,Red Faction,Shooter,71,20.49,667720
471,471,Donkey Kong Country 2: Diddy's Kong Quest,Platform,87,16.88,
472,472,Phoenix Wright: Ace Attorney,Adventure,84,77.58,787480
473,473,Sonic the Hedgehog,Platform,72,6.22,2324650
474,474,Enclave,Adventure,63,8.27,253980
475,475,Teslagrad,Platform,71,15.61,1698220
476,476,Halo: Combat Evolved,Shooter,82,40.04,
477,477,Oddworld: Abe's Exoddus,Platform,83,16.15,15710
